alert_id,cve_id
AA20-259A,T1105
AA20-259A,T1546
AA20-259A,T1027
AA20-258A,T1573
AA20-258A,T1328
AA20-258A,T1566
AA20-258A,T1046
AA20-258A,T1114
AA20-258A,T1003
AA20-258A,T1329
AA20-258A,T1110
AA20-258A,T1247
AA20-258A,T1352
AA20-258A,T1254
AA20-258A,T1190
AA20-258A,T1245
AA20-258A,T1291
AA20-258A,T1288
AA20-258A,T1204
AA20-258A,T1346
AA20-258A,T1090
AA20-258A,T1349
AA20-258A,T1072
AA20-239A,T1573
AA20-239A,T1566
AA20-239A,T1547
AA20-239A,T1219
AA20-239A,T1132
AA20-239A,T1561
AA20-239A,T1070
AA20-239A,T1110
AA20-239A,T1033
AA20-239A,T1552
AA20-239A,T1518
AA20-239A,T1010
AA20-239A,T1102
AA20-239A,T1203
AA20-239A,T1485
AA20-239A,T1562
AA20-239A,T1071
AA20-239A,T1041
AA20-239A,T1021
AA20-239A,T1190
AA20-239A,T1218
AA20-239A,T1133
AA20-239A,T1189
AA20-239A,T1012
AA20-239A,T1505
AA20-239A,T1569
AA20-239A,T1095
AA20-239A,T1560
AA20-239A,T1101
AA20-239A,T1113
AA20-239A,T1140
AA20-239A,T1078
AA20-239A,T1106
AA20-239A,T1016
AA20-239A,T1486
AA20-239A,T1489
AA20-239A,T1543
AA20-239A,T1059
AA20-239A,T1565
AA20-239A,T1087
AA20-239A,T1115
AA20-239A,T1204
AA20-239A,T1098
AA20-239A,T1574
AA20-239A,T1119
AA20-239A,T1014
AA20-239A,T1082
AA20-239A,T1083
AA20-239A,T1005
AA20-239A,T1053
AA20-239A,T1036
AA20-239A,T1055
AA20-239A,T1049
AA20-239A,T1548
AA20-239A,T1090
AA20-239A,T1217
AA20-239A,T1105
AA20-239A,T1056
AA20-239A,T1199
AA20-239A,T1129
AA20-239A,T1553
AA20-239A,T1057
AA20-239A,T1020
AA20-239A,T1202
AA20-239A,T1027
AA20-227A,T1566
AA20-227A,T1547
AA20-227A,T1132
AA20-227A,T1070
AA20-227A,T1033
AA20-227A,T1134
AA20-227A,T1071
AA20-227A,T1218
AA20-227A,T1113
AA20-227A,T1140
AA20-227A,T1016
AA20-227A,T1059
AA20-227A,T1115
AA20-227A,T1048
AA20-227A,T1082
AA20-227A,T1083
AA20-227A,T1555
AA20-227A,T1036
AA20-227A,T1548
AA20-227A,T1105
AA20-227A,T1056
AA20-227A,T1112
AA20-227A,T1546
AA20-227A,T1057
AA20-205A,T1486
AA20-205A,T1192
AA20-198A,T1090
AA20-198A,T1499
AA20-198A,T1498
AA20-183A,T1090
AA20-183A,T1024
AA20-183A,T1254
AA20-183A,T1071
AA20-183A,T1486
AA20-183A,T1498
AA20-183A,T1190
AA20-183A,T1263
